time,open,high,low,close,tick_volume
2025-10-16T00:00:00Z,1.164060,1.164530,1.163740,1.164160,267
2025-10-16T01:00:00Z,1.164160,1.165220,1.164160,1.164490,1103
2025-10-16T02:00:00Z,1.164490,1.164680,1.164440,1.164540,1068
2025-10-16T03:00:00Z,1.164540,1.166650,1.164250,1.166270,3897
2025-10-16T04:00:00Z,1.166280,1.167500,1.166080,1.166950,3641
2025-10-16T05:00:00Z,1.166950,1.167430,1.166380,1.166570,2326
2025-10-16T06:00:00Z,1.166570,1.166680,1.166120,1.166170,1586
2025-10-16T07:00:00Z,1.166170,1.166170,1.165540,1.165570,1167
2025-10-16T08:00:00Z,1.165570,1.166100,1.165340,1.165950,2500
2025-10-16T09:00:00Z,1.165950,1.166760,1.165180,1.165350,4714
2025-10-16T10:00:00Z,1.165350,1.165630,1.164260,1.165200,6095
2025-10-16T11:00:00Z,1.165180,1.165940,1.164830,1.165850,4549
2025-10-16T12:00:00Z,1.165860,1.166350,1.165200,1.165790,3171
2025-10-16T13:00:00Z,1.165790,1.166250,1.165260,1.165500,3355
2025-10-16T14:00:00Z,1.165500,1.165590,1.164590,1.165360,3917
2025-10-16T15:00:00Z,1.165360,1.166130,1.164860,1.166010,4967
2025-10-16T16:00:00Z,1.166010,1.166380,1.164970,1.165720,5962
2025-10-16T17:00:00Z,1.165720,1.167760,1.165320,1.167640,5962
2025-10-16T18:00:00Z,1.167640,1.167770,1.166070,1.166410,5106
2025-10-16T19:00:00Z,1.166410,1.167860,1.166380,1.167650,6637
2025-10-16T20:00:00Z,1.167650,1.169320,1.167630,1.168780,5615
2025-10-16T21:00:00Z,1.168780,1.169290,1.168000,1.168900,4252
2025-10-16T22:00:00Z,1.168900,1.169380,1.168650,1.168840,3429
2025-10-16T23:00:00Z,1.168840,1.169100,1.168440,1.168630,1697
2025-10-17T00:00:00Z,1.168050,1.168780,1.167670,1.168540,461
2025-10-17T01:00:00Z,1.168540,1.169450,1.168500,1.169300,1371
2025-10-17T02:00:00Z,1.169300,1.169910,1.169280,1.169860,1374
2025-10-17T03:00:00Z,1.169870,1.171090,1.169470,1.170630,2659
2025-10-17T04:00:00Z,1.170620,1.170930,1.169960,1.170050,3704
2025-10-17T05:00:00Z,1.170050,1.171090,1.169490,1.170480,2544
2025-10-17T06:00:00Z,1.170480,1.171230,1.170410,1.170890,1682
2025-10-17T07:00:00Z,1.170890,1.171170,1.170590,1.170940,1417
2025-10-17T08:00:00Z,1.170950,1.172800,1.170930,1.172260,2423
2025-10-17T09:00:00Z,1.172270,1.172620,1.170800,1.171020,6574
2025-10-17T10:00:00Z,1.171000,1.171470,1.169300,1.171120,10010
2025-10-17T11:00:00Z,1.171130,1.171580,1.169120,1.169690,6449
2025-10-17T12:00:00Z,1.169690,1.170730,1.169600,1.170080,3674
2025-10-17T13:00:00Z,1.170080,1.170210,1.168690,1.168920,3799
2025-10-17T14:00:00Z,1.168920,1.169660,1.167990,1.168450,6333
2025-10-17T15:00:00Z,1.168450,1.168590,1.166650,1.167600,6443
2025-10-17T16:00:00Z,1.167590,1.168090,1.166860,1.167000,6807
2025-10-17T17:00:00Z,1.167000,1.167270,1.165610,1.166650,7722
2025-10-17T18:00:00Z,1.166650,1.167300,1.166040,1.167290,5067
2025-10-17T19:00:00Z,1.167290,1.167900,1.166940,1.167040,3654
2025-10-17T20:00:00Z,1.167040,1.167540,1.166650,1.166740,3092
2025-10-17T21:00:00Z,1.166740,1.167390,1.166360,1.166750,2889
2025-10-17T22:00:00Z,1.166750,1.167060,1.166540,1.167000,2075
2025-10-17T23:00:00Z,1.167000,1.167010,1.164990,1.165020,1986
2025-10-20T00:00:00Z,1.166510,1.166510,1.165550,1.165600,366
2025-10-20T01:00:00Z,1.165600,1.165720,1.165020,1.165470,1541
2025-10-20T02:00:00Z,1.165470,1.166120,1.165380,1.165750,1399
2025-10-20T03:00:00Z,1.165740,1.166600,1.165740,1.166600,2926
2025-10-20T04:00:00Z,1.166600,1.166700,1.165620,1.165960,2322
2025-10-20T05:00:00Z,1.165960,1.167020,1.165960,1.166520,1641
2025-10-20T06:00:00Z,1.166540,1.166830,1.166450,1.166780,1310
2025-10-20T07:00:00Z,1.166780,1.167350,1.166510,1.167100,1275
2025-10-20T08:00:00Z,1.167100,1.167510,1.166960,1.167330,1725
2025-10-20T09:00:00Z,1.167300,1.167300,1.165630,1.165810,4086
2025-10-20T10:00:00Z,1.165800,1.166770,1.165320,1.166200,4161
2025-10-20T11:00:00Z,1.166200,1.166600,1.165740,1.166310,3885
2025-10-20T12:00:00Z,1.166310,1.166730,1.165870,1.166150,4286
2025-10-20T13:00:00Z,1.166150,1.166260,1.165090,1.165290,2936
2025-10-20T14:00:00Z,1.165290,1.165600,1.164410,1.165600,3121
2025-10-20T15:00:00Z,1.165600,1.165990,1.164990,1.165290,4587
2025-10-20T16:00:00Z,1.165290,1.165410,1.164590,1.164860,4839
